"id","name","type_tax_use","amount_type","sequence","amount","description","l10n_ec_code_base","l10n_ec_code_applied","tax_group_id","l10n_ec_code_ats","l10n_ec_xml_fe_code","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@es","description@es","invoice_label@es","invoice_label","active","price_include_override"
"tax_withhold_profit_303","10% 303","none","percent","70","-10","303 10% Professional Fees and Other Payments to Resident Individuals","303","353","tax_group_withhold_income_purchase","303","","","base","invoice","+303 (Reporte 103)","","303 10% Honorarios","303 10% Honorarios y Demas Pagos a Personas Naturales Residentes","303","10% 303","True","tax_excluded"
"tax_withhold_profit_303A","5% 303A","none","percent","70","-5","303A 5% Professional Services Provided by Resident Companies","3030","3530","tax_group_withhold_income_purchase","303A","","","base","invoice","+303A (Reporte 103)","","303A 5% Servicios Profesionales Prestados por Sociedades Residentes","303A 5% Servicios Profesionales Prestados por Sociedades Residentes","3030","3% 303a","True","tax_excluded"
"tax_withhold_profit_304","10% 304","none","percent","70","-10","304 10% Services Predominantly Intellectual Services not Related to Professional Degree","304","354","tax_group_withhold_income_purchase","304","","","base","invoice","+304 (Reporte 103)","","304 10% Servicios Intelecto","304 10% Servicios Predomina el Intelecto No Relacionados con el Titulo Profesional","304","10% 304","True","tax_excluded"
"tax_withhold_profit_304A","10% 304a","none","percent","70","-10","304a 10% Commissions and Other Payments for Services Predominantly Intellectually Unrelated to Professional Title","304","354","tax_group_withhold_income_purchase","304A","","","base","invoice","+304 (Reporte 103)","","304A 10% Comisiones","304A 10% Comisiones y Demas Pagos por Servicios Predomina Intelecto No Relacionados con el Titulo Profesional","304","10% 304a","True","tax_excluded"
"tax_withhold_profit_304B","10% 304b","none","percent","70","-10","304b 10% Payments to Notaries and Property and Commercial Registrars for their Activities as Such","304","354","tax_group_withhold_income_purchase","304B","","","base","invoice","+304 (Reporte 103)","","304B 10% Notarios","304B 10% Pagos a Notarios y Registradores de la Propiedad y Mercantil por sus Actividades Ejercidas Como Tales","304","10% 304b","True","tax_excluded"
"tax_withhold_profit_304C","10% 304c","none","percent","70","-10","304c 10% Payments to Athletes, Coaches, Referees and Technical Staff Without Dependency Relationship","304","354","tax_group_withhold_income_purchase","304C","","","base","invoice","+304 (Reporte 103)","","304C 10% Deportistas","304C 10% Pagos a Deportistas, Entrenadores, Arbitros y Miembros del Cuerpo Tecnico sin Relacion de Dependencia","304","10% 304c","True","tax_excluded"
"tax_withhold_profit_304D","10% 304d","none","percent","70","-10","304d 10% Activities Developed by Resident Artists","304","354","tax_group_withhold_income_purchase","304D","","","base","invoice","+304 (Reporte 103)","","304D 10% Artistas","304D 10% Actividades Desarrolladas por Artistas Residentes","304","10% 304d","True","tax_excluded"
"tax_withhold_profit_307","3% 307","none","percent","70","-3","307 3% Services Predominantly Labor Force","307","357","tax_group_withhold_income_purchase","307","","","base","invoice","+307 (Reporte 103)","","307 3% Servicios Mano de Obra","307 3% Servicios Predomina Mano de Obra","307","2% 307","True","tax_excluded"
"tax_withhold_profit_308","10% 308","none","percent","70","-10","308 10% Payments Related to Image or Renown Exploitation","308","358","tax_group_withhold_income_purchase","308","","","base","invoice","+308 (Reporte 103)","","308 10% Imagen o Renombre","308 10% Pagos Relacionados con la Explotacion de Imagen o Renombre","308","10% 308","True","tax_excluded"
"tax_withhold_profit_309","3% 309","none","percent","70","-3","309 3% Services Rendered by Media and Advertising Agencies","309","359","tax_group_withhold_income_purchase","309","","","base","invoice","+309 (Reporte 103)","","309 3% Servicios Prestados por Medios de Comunicación y Agencias de Publicidad","309 3% Servicios Prestados por Medios de Comunicación y Agencias de Publicidad","309","2.75% 309","True","tax_excluded"
"tax_withhold_profit_310","1% 310","none","percent","70","-1","310 1% Private Passenger Transportation and Public or Private Cargo Transportation Services","310","360","tax_group_withhold_income_purchase","310","","","base","invoice","+310 (Reporte 103)","","310 1% Transporte","310 1% Servicios de Transporte Privado de Pasajeros y Transporte Publico o Privado de Carga","310","1% 310","True","tax_excluded"
"tax_withhold_profit_311","3% 311","none","percent","70","-3","311 3% For Payments Through Purchase Settlement (Cultural or Rustic Level)","311","361","tax_group_withhold_income_purchase","311","","","base","invoice","+311 (Reporte 103)","","311 3% Compra","311 3% Por Pagos a Traves de Liquidacion de Compra (nivel cultural o rusticidad)","311","2% 311","True","tax_excluded"
"tax_withhold_profit_312","2% 312","none","percent","70","-2","312 2% Transfer of Tangible Movable Property of a Tangible Nature","312","362","tax_group_withhold_income_purchase","312","","","base","invoice","+312 (Reporte 103)","","312 2% Transferencia Bienes","312 2% Transferencia de Bienes Muebles de Naturaleza Corporal","312","1.75% 312","True","tax_excluded"
"tax_withhold_profit_312A","1% 312A","none","percent","70","-1","312A 1% Acquisition of Agricultural, Animal, Aquaculture, and Forestry Products from Producer","3120","3620","tax_group_withhold_income_purchase","312A","","","base","invoice","+312A (Reporte 103)","","312A 1% Productor","312A 1% Adquisición de Bienes de Origen Agrícola, Avícola, Pecuario, Apícola, Cunícula, Bioacuático y Forestal a Productor","312A","1% 312A","True","tax_excluded"
"tax_withhold_profit_312C","1.75% 312C","none","percent","70","-1.75","312C 1.75% Acquisition of Agricultural, Animal, Aquaculture, and Forestry Products from Non-Producer Traders","3121","3621","tax_group_withhold_income_purchase","312C","","","base","invoice","+312C (Reporte 103)","","312C 1.75% Comercializador","312C 1.75% Adquisición de Bienes de Origen Agrícola, Avícola, Pecuario, Apícola, Cunícula, Bioacuático y Forestal a Comercializadores que no sean Productores","312C","1.75% 312C","True","tax_excluded"
"tax_withhold_profit_314A","10% 314a","none","percent","70","-10","314a 10% Royalties From Franchises Under The Intellectual Property Law - Payment to Individuals","314","364","tax_group_withhold_income_purchase","314A","","","base","invoice","+314 (Reporte 103)","","314A 10% Regalias Personas","314A 10% Regalias por Concepto de Franquicias de Acuerdo a Ley de Propiedad Intelectual - Pago a Personas Naturales","314","10% 314a","True","tax_excluded"
"tax_withhold_profit_314B","10% 314b","none","percent","70","-10","314b 10% Royalties, Copyrights, Trademarks, Patents and Similar in Accordance with the Intellectual Property Law - Payment to Natural Persons","314","364","tax_group_withhold_income_purchase","314B","","","base","invoice","+314 (Reporte 103)","","314B 10% Derechos Autor","314B 10% Casales, Derechos de Autor, Marcas, Patentes y Similares de Acuerdo a Ley de Propiedad Intelectual – Pago a Personas Naturales","314","10% 314b","True","tax_excluded"
